id,year,month,day,mets,pdf,label
3177,1902,01,28,1260640224695299.xml,1260640224700548.pdf,1902-01-28
3178,1902,01,29,1260640224726243.xml,1260640224731368.pdf,1902-01-29
3179,1902,01,07,126064022475630.xml,126064022482496.pdf,1902-01-07
3180,1902,01,30,1260640224758030.xml,1260640224766092.pdf,1902-01-30
3181,1902,01,31,1260640224804582.xml,1260640224810219.pdf,1902-01-31
3182,1902,02,01,1260640224835024.xml,1260640224840890.pdf,1902-02-01
3183,1902,02,03,1260640224867103.xml,1260640224872462.pdf,1902-02-03
3184,1902,02,04,1260640224899235.xml,1260640224904698.pdf,1902-02-04
3185,1902,02,05,1260640224929736.xml,1260640224935086.pdf,1902-02-05
3186,1902,02,06,1260640224960051.xml,1260640224965267.pdf,1902-02-06
3187,1902,02,07,1260640224993966.xml,1260640224999463.pdf,1902-02-07
3188,1902,02,11,1260640225106734.xml,1260640225114571.pdf,1902-02-11
3189,1902,02,12,1260640225146164.xml,1260640225152703.pdf,1902-02-12
3190,1902,02,13,1260640225183339.xml,1260640225189749.pdf,1902-02-13
3191,1902,02,14,1260640225220132.xml,1260640225225868.pdf,1902-02-14
3192,1902,02,15,1260640225250700.xml,1260640225256059.pdf,1902-02-15
3193,1902,02,17,1260640225284904.xml,1260640225290164.pdf,1902-02-17
3194,1902,02,08,126064022530294.xml,126064022536819.pdf,1902-02-08
3195,1902,02,18,1260640225314447.xml,1260640225319650.pdf,1902-02-18
3196,1902,02,19,1260640225344374.xml,1260640225349720.pdf,1902-02-19
3197,1902,02,20,1260640225374285.xml,1260640225379524.pdf,1902-02-20
3198,1902,02,21,1260640225403797.xml,1260640225409279.pdf,1902-02-21
3199,1902,02,26,1260640225438471.xml,1260640225444200.pdf,1902-02-26
3200,1902,02,27,1260640225470256.xml,1260640225475615.pdf,1902-02-27
3201,1902,02,28,1260640225501897.xml,1260640225506973.pdf,1902-02-28
3202,1902,03,01,1260640225534944.xml,1260640225541787.pdf,1902-03-01
3203,1902,03,03,1260640225570545.xml,1260640225576374.pdf,1902-03-03
3204,1902,03,04,1260640225604535.xml,1260640225611016.pdf,1902-03-04
3205,1902,03,05,1260640225647842.xml,1260640225654500.pdf,1902-03-05
3206,1902,02,10,126064022566488.xml,126064022572961.pdf,1902-02-10
3207,1902,03,06,1260640225686316.xml,1260640225692448.pdf,1902-03-06
3208,1902,03,07,1260640225721010.xml,1260640225726987.pdf,1902-03-07
3209,1902,03,26,1260640225757637.xml,1260640225763637.pdf,1902-03-26
3210,1902,03,27,1260640225790688.xml,1260640225795980.pdf,1902-03-27
3211,1902,03,28,1260640225820621.xml,1260640225826134.pdf,1902-03-28
3212,1902,03,31,1260640225854080.xml,1260640225859603.pdf,1902-03-31
3213,1902,04,01,1260640225886093.xml,1260640225891320.pdf,1902-04-01
3214,1902,04,02,1260640225918069.xml,1260640225923446.pdf,1902-04-02
3215,1902,04,03,1260640225950901.xml,1260640225956400.pdf,1902-04-03
3216,1902,04,04,1260640225982446.xml,1260640225988062.pdf,1902-04-04
3217,1902,04,05,1260640226160799.xml,1260640226166148.pdf,1902-04-05
3218,1902,04,07,1260640226191837.xml,1260640226198215.pdf,1902-04-07
3219,1902,04,08,1260640226224426.xml,1260640226229918.pdf,1902-04-08
